Scrapped URL,Collection Name,Item Count,Owner Count,Floor Price,Volume Traded,Collection Description,Website URL,Discord URL,Twitter URL,Instagram URL
https://opensea.io/collection/nightfantasy,Night Fantasy,3,1,---,0.45,None,,,,
https://opensea.io/collection/nightfantasy,Night Fantasy,3,1,---,0.45,None,,,,
https://opensea.io/collection/electrifyingopera,iDBY Collection,4,1,---,0.00,,,,,
https://opensea.io/collection/artvalue,Art Value,37,4,---,0.17,,,,,
https://opensea.io/collection/geometric-gems,Geometric Gems,17,31,0.1,16.5,,,,,
https://opensea.io/collection/extradimensionalbeings,Extra Dimensional Beings,100,111,0.09,29.7,,,,,
https://opensea.io/collection/nftclub-v2,NFTCLUB V2,122.3K,434,0.002,4.5,,,,,
https://opensea.io/collection/genesis-gradients-by-beaming,Genesis Gradients by Beaming,222,180,0.1,58.0,This limited 222 piece NFT experiment between artist and collector will be the base of a unique 3D collaboration and serve as a whitelist key for all future collections. Dose yourself with art; it has a profound ability to calm body & mind.,,,,
https://opensea.io/collection/mutant-gorillas-,Mutant-Gorillas,8.9K,1.4K,0.01,392,9000 gorillas mutated by a disease on the Ethereum blockchain. Each Mutant Gorilla allows staking to produce serum that can be used to cure the Mutant Cats.,,,,
https://opensea.io/collection/mint-gold-dust,Mint Gold Dust,143,102,---,0.00,"Mint Gold Dust is a peer to peer platform built on Ethereum; the Bauhaus of web3. An ecosystem for artists, collectors, and collaborators from multiple industries that is transforming how people interact with the digital world.",,,,
https://opensea.io/collection/strauss-editions,Ben Strauss Editions,1,87,0.09,5.2,"Ben Strauss is a Landscape Photographer/Digital Artist based out of Colorado. His unique, hyper-realistic processing style comes from the desire to convey experiences of the 3D world thru a 2D format.",,,,
https://opensea.io/collection/visithra-collection,Visithra Collection,0,0,---,0.00,,,,,
https://opensea.io/collection/nightfantasy,Night Fantasy,3,1,---,0.45,None,,,,
https://opensea.io/collection/electrifyingopera,iDBY Collection,4,1,---,0.00,,,,,
https://opensea.io/collection/artvalue,Art Value,37,4,---,0.17,,,,,
https://opensea.io/collection/geometric-gems,Geometric Gems,17,31,0.1,16.5,,,,,
https://opensea.io/collection/extradimensionalbeings,Extra Dimensional Beings,100,111,0.09,29.7,,,,,
https://opensea.io/collection/nftclub-v2,NFTCLUB V2,122.3K,434,0.002,4.5,,,,,
https://opensea.io/collection/genesis-gradients-by-beaming,Genesis Gradients by Beaming,222,180,0.1,58.0,This limited 222 piece NFT experiment between artist and collector will be the base of a unique 3D collaboration and serve as a whitelist key for all future collections. Dose yourself with art; it has a profound ability to calm body & mind.,,,,
https://opensea.io/collection/mutant-gorillas-,Mutant-Gorillas,8.9K,1.4K,0.01,392,9000 gorillas mutated by a disease on the Ethereum blockchain. Each Mutant Gorilla allows staking to produce serum that can be used to cure the Mutant Cats.,,,,
https://opensea.io/collection/mint-gold-dust,Mint Gold Dust,143,102,---,0.00,"Mint Gold Dust is a peer to peer platform built on Ethereum; the Bauhaus of web3. An ecosystem for artists, collectors, and collaborators from multiple industries that is transforming how people interact with the digital world.",,,,
https://opensea.io/collection/strauss-editions,Ben Strauss Editions,1,87,0.09,5.2,"Ben Strauss is a Landscape Photographer/Digital Artist based out of Colorado. His unique, hyper-realistic processing style comes from the desire to convey experiences of the 3D world thru a 2D format.",,,,
https://opensea.io/collection/visithra-collection,Visithra Collection,0,0,---,0.00,,,,,
https://opensea.io/collection/bauhausblocks,Bauhaus Blocks,8.2K,2.1K,0.006,37.5,,,,,
